Q,A,,,,
发票云小程序邮箱取票功能如何操作 ?,绑定个人邮箱，将个人邮箱的包含增值税发票邮件转发至金蝶的专用邮箱 (fp@piaozone.cn)，系统将自动将发票提取放 入个人票夹中。注:单个邮件不能大于10MB，提取发票处理可能存在延迟，可在邮箱取票功能中查看进度。,,,,
客户在星瀚费用报销端采集的发票影像能否自动作为附 件上传至EAS 8.2中?,不能直接上传至EAS 8.2中，需要客户自己去做二开 ，使用星瀚发票助手或 AWS发票助手。,,,,
客户在EAS 8.2中的审批流能否同时审批发票 ?,由于每个企业的业务流程不同 ，因此无法提供审批流的具体操作 。客户需要根据自己的业务需求 ，在EAS 8.2中设置相应 的审批流，以便在发票采集完成后自动进入审批流程 。,,,,
客户需要在税局进行何种操作才能使用星瀚费用报销端 采集的发票影像上传至 EAS 8.2中?,客户需要在税局进行及时 、准确的申报 ，并避免逾期未申报的情况发生 。同时，客户需要在星瀚费用报销端中进行相应的 设置和操作，以便将采集的发票影像上传至 EAS 8.2中。具体的操作可以参考星瀚费用报销端的指引或者向客服咨询 。,,,,
能否降低报销人上传发票的要求 ，允许上传图片格式 ?,针对报销人上传发票的要求 ，我们已经支持数电票的 OCR识别，但是目前睿真的识别不够准确 ，所以我们现在引导的是上 传PDF/OFD/XML格式的文件。关于允许报销人上传图片格式的需求 ，我们会在后续的迭代中考虑并开发 。,,,,
收票RPA能否从电子发票服务平台下载数电票文件 ?,星瀚收票RPA7月份已实现从电子发票服务平台下载数电票文件 PDF/OFD/XML的需求。,,,,
物料里的规格型号客户备注的 (中型)方便区分物料 ， 有没有办法可以让发票拆分的时候 (中型)不会显示在 发票上,可以自行维护一个没有显示 “中型”的字段，并将该字段携带到下游的金税开票单据中 。,,,,
星瀚发票云开票端是否支持下载发票为 xml格式?,星瀚发票云开票端支持下载发票为 xml格式。,,,,
为什么在沙箱环境下 ，开票端的数电票下载选项有 XML 选项，但是下载后无法打开 ?,这个问题可能是因为沙箱环境下的星瀚发票云客户端未能正确生成 xml格式的发票文件，请提供税号和发票信息给发票云 售后人员处理,,,,
如何解决沙箱环境下下载 xml格式发票文件无法打开的 问题?,建议联系星瀚发票云的客服或开发人员 ，确认客户端的xml生成是否正确。如果客户端的xml生成有误，可能需要更新客户 端版本或修复相关问题 ，以支持下载 xml格式的发票文件 。,,,,
为什么在设置开票人策略时 ，全选组织却出现提示有些 企业已经存在开票人策略的情况 ?,当某个组织已经存在开票人策略时 ，再次全选该组织时系统会提示该组织已经存在开票人策略 。这是为了防止重复设置开 票人策略 ，保持数据的一致性 。,,,,
如果确认没有设置过开票人策略 ，为什么还会出现组织 已存在策略的提示 ?,如果确实没有设置过开票人策略 ，可能是系统中存在其他账号设置了该组织的开票人策略 。管理员账号可以查看其他账号 设置的开票人策略，因此需要登录到对应的组织中去查看是否存在已设置的开票人策略 。,,,,
如何查看其他账号设置的开票人策略 ?,管理员可以通过登录到对应的组织 ，在开票人策略页面中查看其他账号设置的开票人策略 。,,,,
如果一个组织已经存在开票人策略 ，是否可以重新设置 或修改该策略 ?,如果一个组织已经存在开票人策略 ，可以登录到该组织中进行查看和修改 。但是需要注意，修改后的开票人策略要符合 系统规范，并且不会影响到已开具的发票信息 。,,,,
"为什么在顶级的组织中无法看到其他组织的开票人策
略?",在顶级的组织中无法直接查看其他组织的开票人策略 。需要登录到对应的组织中去查看和修改 。这是为了保护不同组织的 独立性和安全性 。,,,,
自定义邮件的变量名称在哪里可以获取到最新的 ?,可用变量包括:发票代码，发票号码，开票日期，购方名称，购方纳税人识别号，购方地址电话，购方开户行及账号，购 方手机，购方邮箱，销方名称，销方纳税人识别号 ，销方地址电话，销方开户行及账号 ，开票类型。,,,,
邮件里要XML下载地址和版式文件要怎么设置 ?,地址没有设置的地方 ，都是系统默认发送的 。,,,,
自定义邮件的变量名称是否包括 xml文件下载地址 ?,是的，包括xml文件下载地址 。,,,,
星瀚如何获取发票的文件云盘地址 ?,在星瀚费用报销端采集的发票影像可以在单据中查询对应的发票文件云盘地址 。具体操作可以参考星瀚费用报销端的指引 或者向客服咨询 。,,,,
如何根据客户使用的系统来区分发票云服务 ?,根据客户使用的系统以及购买得产品做区分 ，或者页面做区分，aws是四宫格模式,,,,
使用星瀚发票云进行采集时 ，如何自动同步全票池的数 据?,"使用星瀚发票云进行采集时 ，需要修改一个参数才能使用星瀚发票云进行采集 ，并且会自动同步全票池的数据 ,具体参考 实施文档",,,,
aws解绑跟星瀚发票云解绑得区别,如果客户一直使用星瀚 ，则采集发票时商家平台不会有数据 ，只能使用星瀚发票云进行采集和解绑等操作 。如果客户使用 的是 AWS 发票云，则可以使用商户平台进项解绑,,,,
为什么要根据客户的实际情况选择使用星瀚发票云还是 AWS 发票云?,在进行发票查询时，要根据客户的实际情况选择使用星瀚发票云还是 AWS发票云，因为客户的实际情况不同，不同的发 票云服务提供不同的功能和特点 ，选择最适合客户的方案可以提高查询效率和提高服务质量,,,,
A企业能否使用 B企业在全电模式下开具的红字信息表 来进行税盘红冲操作 ?,如果B企业开具的是红字信息表 ，那么A企业可以使用该表来进行税盘红冲操作 。但需要注意的是 ，企业A的税盘也需要被 缴纳才能进行数电票红冲税控票操作 。,,,,
在使用红字确认单或红字信息表时 ，需要注意哪些事 项?,在使用红字确认单或红字信息表时 ，需要注意以下几点 :首先，要确保开具的红字确认单或红字信息表符合相关规定和标 准，避免因不符合规定导致无法使用 ;其次，要在规定的时间内进行开具和上传操作 ，避免超过时限;最后，要在确保自 身操作符合相关法规和规定的前提下 ，根据具体情况选择使用红字确认单或红字信息表 。,,,,
如果A企业使用B企业在全电模式下开具的红字信息表 进行税盘红冲操作 ，具体操作流程是怎样的 ?,确认一下是红字信息表还是红字确认单 ，如果是红字确认单，企业A的税盘也被缴纳了才能用数电票红冲税控票 ，如果是 红字信息表 ，那企业A就正常用税控红冲,,,,
数电票系统是否支持机动车发票 ?,数电票系统目前暂不支持机动车发票 。,,,,
如果需要开具机动车发票 ，应该如何处理 ?,如果需要开具机动车发票 ，可以考虑使用纸质发票或电子普通发票 。,,,,
能否通过修改税收分类编码来在数电票系统中开具机动 车发票 ?,在目前的数电票系统中，无法通过修改税收分类编码来开具左上角显示机动车标识的发票 。,,,,
是否有其他方式可以在数电票系统中开具机动车发票 ?,截至目前，暂无其他方式可以在数电票系统中开具左上角显示机动车标识的发票 。建议通过纸质发票或电子普通发票进行 处理。,,,,
为什么有些发票是 OFD格式，有些是PDF格式?,不同的发票类型和开票方式可能会导致发票格式的不同 。一般来说，OFD格式和PDF格式都是常用的电子发票格式之一 。 其中OFD格式是一种开放的电子文档格式 ，具有更高的安全性 、可编辑性和可扩展性 ，通常用于电子专票等重要场合 ;而 PDF格式则是一种较为普遍的电子文档格式 ，适用于不同类型的电子发票 。因此，根据不同的开票方式和发票类型 ，可能 会出现OFD格式或PDF格式的电子发票 。,,,,
智慧管家或公众号是否会在月底税局维护时发出提醒 ?,目前不考虑对此发出提醒。因为智慧管家和公众号无法直接判断税局的维护时间 ，也无法确定维护是否会影响用户的使用 。所以，建议用户在月底前提前关注税局官网或相关媒体以获取最新的维护信息 。,,,,
如果智慧管家或公众号收到税局异常或改动的影响 ，会 如何处理 ?,如果智慧管家或公众号受到税局异常或改动的影响 ，建议用户首先尝试重新登录或刷新页面 ，以查看是否可以解决问题 。 如果问题仍然存在 ，可以尝发票云客服人员 ，获取详细的解答和指导 。,,,,
如何关注税局维护信息 ?,"用户可以通过以下途径关注税局维护信息 : 
税局官网:税局会在官网发布维护通知和公告 ，用户可以定期关注官网的最新消息 ，以便及时获取相关信息 。 媒体报道:一些媒体会报道税局的维护信息 ，用户可以通过订阅相关媒体或者关注媒体账号获取最新的维护信息 。 官方公众号或应用程序 :一些税局会开通官方公众号或应用程序 ，用户可以通过关注官方账号或者下载应用程序获取最新 的维护信息 。 
短信通知:部分税局会通过短信通知用户最新的维护信息 ，用户可以订阅短信通知服务以便及时获取相关信息 。 需要注意的是 ，不同的税局通知途径可能有所不同 ，具体以当地税局为准 。",,,,
智慧管家下票是否支持区块链 ?,不支持 。,,,,
智慧管家下票是否受税局异常或改动影响 ?,可能受到影响，因为智慧管家下票是基于税局的接口进行操作 。如果税局出现异常或改动，智慧管家下票可能无法正常工 作。在这种情况下 ，建议联系发票云团队 ，以获取更多帮助和解决方案 。,,,,
邮箱取票时 ，附件是否只能为 PDF和图片格式 ?,是的，邮箱取票时，附件只能为PDF和图片格式。,,,,
如果邮箱取票附件是网页链接 ，是否能够解析并下载 ?,如果附件是网页链接，不一定能够解析并下载。仅支持开票方开具发票时给出的链接地址采集发票 ，链接进去之后还要登 录的除外比如京东的 ，点击链接就直接能下载发票了 ，我们支持这一种情况 。,,,,
如果需要验证发票信息的真实性 ，我们应该如何操作 ?,"如果您需要验证发票信息的真实性 ，您可以根据以下步骤进行操作 : 
查看发票文件的详细信息 ，包括发票代码、发票号码、开票日期、购方名称、销方名称等信息。 确认发票信息的真实性，可以通过国家税务部门官网或其他正规渠道查询相关信息进行比对 。 如果您对发票信息存在疑虑 ，建议您联系开票方或相关技术支持人员 ，进行进一步的核实和处理 。",,,,
商家平台合规性得报销期限是如何规定的 ?,报销期限为 365天，从当日往前推算 。例如，如果配置的截止报销日期为 1月，那么从今年的 1月1日到1月末这段时间内开 的发票都可以报销 。,,,,
商家平台合规性是否允许跨年报销 ?,是的，允许跨年报销。如果客户需要报销去年的发票 ，可以在配置的截止报销日期之后的两个月内进行报销 。例如，如果 配置的截止报销日期为 2月，那么去年的发票在今年的 2月之前都可以报销 。,,,,
商家平台合规性如果不允许跨年报销 ，是否会受到第三 条规则的限制 ?,如果不允许跨年报销 ，第三条规则将失效 。无论配置的截止报销月份是几月 ，去年的发票都不能报销 。,,,,
商家平台合规性设置跨年报销对于今年的发票 ，是否可 以随时报销 ?,今年的发票可以随时报销 ，不受任何限制 。,,,,
专票查验时是否需要使用校验码 ?,在专票查验时 ，使用不含税金额进行查验 ，不需要使用校验码 。,,,,
星空智能收票中的票种查验方法与直接在税局录入查验 有什么区别 ?,对于智能收票中的票种查验方法与直接在税局录入查验 ，两者的查验过程是相同的。,,,,
发票云小程序得发票采集为什么受相册限制 ?,发票采集受相册限制是因为微信小程序中对于相册权限的限制 。微信小程序中规定，一次只能选择9张照片，这也是微信 对于小程序选取图片的一个限制 。,,,,
发票云小程序导入发票为什么也限制为 9张?,票无忧小程序导入发票的限制也是因为微信小程序的限制 。微信小程序规定了一次只能选择 9张照片，因此票无忧小程序 也遵循了这一限制,,,,
发票云小程序能否增加发票导入的数量限制 ?,很抱歉，由于微信小程序的限制 ，目前无法增加发票导入的数量限制 。微信小程序规定了一次只能选择 9张照片，我们无 法绕开这个限制 。,,,,
"发票云小程序在浏览器上打开票无忧小程序能否多选发
票?",很抱歉，票无忧小程序只能在微信上打开 ，无法在浏览器上打开 。因此，无法通过浏览器来多选发票 。,,,,
发票云小程序如果需要导入更多的发票 ，应该如何操 作?,如果需要导入更多的发票 ，建议分多次导入 。因为微信小程序限制了每次选择 9张照片，所以可以选择多次导入来导入更 多的发票。另外，也可以尝试使用其他程序或者工具来导入更多的发票 。,,,,
客户的电脑版本是否会影响发票云在网页端的兼容性 ?,客户的电脑版本，比如Windows XP等，与发票云在网页端的兼容性没有直接关系 。,,,,
发票云在网页端是否支持所有浏览器 ?,发票云在网页端支持特定的浏览器 ，如谷歌或IE11及以上。,,,,
如果客户的浏览器不支持发票云小助手 ，会有什么影 响?,如果客户的浏览器不支持发票云 ，他们可能无法成功使用发票云的相关功能 ，例如无法打开或使用发票助手等 。,,,,
发票云是否可以通过其他方式解决兼容性问题 ?,发票云目前暂无其他方式解决兼容性问题 。建议客户使用支持的浏览器或更新浏览器版本以获得更好的使用体验 。,,,,
为什么发票云在网页端的兼容性要求特定的浏览器 ?,发票云在网页端需要支持一些特定的功能和技术 ，例如JavaScript、HTML5等。这些功能和技术在不同的浏览器中有不同 的支持和实现程度，因此发票云对于浏览器有一定的要求以确保客户可以成功使用相关功能 。,,,,
云南的区块链是否支持查验 ?,云南的区块链目前不支持查验 。,,,,
云南的区块链后续是否会有支持查验的计划 ?,目前没有支持的计划 。请关注我们的最新消息以获取相关更新 。,,,,
商户平台台账中的备注字段在哪儿看 ?,台账中的备注字段没有设计在收票台账字段显示中 ，但是导出模板中有备注字段 。,,,,
商户平台台账中导出发票数据中是否包含发票状态和抵 扣状态等字段 ?,导出的全量表中不包含发票状态和抵扣状态等字段 ，但是各明细sheet工作表中包含这些字段。,,,,
商户平台台账中备注字段是否可以直接显示,考虑到备注字段可能很长 ，不适合在列表中显示 。,,,,
数字电源文件校验什么时候能够进行 ?,数字电源文件校验的时间安排取决于税务部门何时发布相关标准 。,,,,
如果能上传xml文件，是否意味着可以验源文件 ?,仅仅能上传XML文件并不能代表可以验源文件 。上传XML文件并不等同于数字电源文件校验 。,,,,
为什么我收到的提示信息是 “云化客户端未配置 ”?,"如果您收到的提示信息是 “云化客户端未配置 ”，那么可能是因为您的客户端没有进行云化配置 。您可以通过以下步骤进行 云化配置 : 
1:升级您的客户端到最新版本 。 2:打开客户端，点击“升级上云”或扫描升级全电邮件中的二维码进行初始化操作 。 如果您完成云化配置后仍然存在疑问 ，您可以联系发票云实施团队寻求帮助 。他们可以为您提供进一步的指导和支持 ，以 确保您的客户端正常运行并进行云化操作 。:",,,,
哪些开票方式不支持开具成品油发票 ?,ukey:部分地区的ukey开票方式也不支持开具成品油发票 。 百望:百望开票系统同样不支持开具成品油发票 。 如果客户需要开具成品油发票，建议使用专门的开票软件或者联系税务部门咨询具体的解决方案 。,,,,
不同的税盘对发票认证的打印机配置界面有何影响 ?,:不同的税盘可能会对发票认证的打印机配置界面显示内容产生微小差异 。,,,,
在开票软件中打印正常的发票 ，再到发票云去打印有何 作用?,: 在开票软件中打印正常的发票 ，再到发票云区打印可以测试打印设置和发票配置是否正确 。如果能够正常打印 ，则说明 打印设置和发票配置没有问题,,,,
重新安装金蝶发票管理组件老报错 ，如何解决,"A: 可以尝试以下三个步骤来解决重新安装老报错的问题 : 
1:拔出税盘 ，重启电脑 。 2:是否安装了税局插件 1.4，请安装。 3:检查是否还有其他未关闭的发票管理程序或程序组 。",,,,
"如何检查是否还有其他未关闭的发票管理程序或程序
组?",可以打开任务管理器 (通常可以通过快捷键 Ctrl+Shift+Esc 打开)，在进程或者服务选项卡中查看是否有与发票管理相关的 程序或程序组正在运行 。也可以在电脑桌面上找到发票管理的快捷方式 ，右键点击快捷方式并选择 “打开文件位置 ”，查看 该程序所在的文件夹，然后再任务管理器中查看该程序是否正在运行 。如果发现有未关闭的发票管理程序或程序组 ，可以 选择结束相关进程或者关闭相关程序来解决 。,,,,
为什么会出现客户名称不正确的情况 ?,可能由于发票云系统中的客户信息没有正确更新或者同步 ，或者客户的名称在发票云中已经被误输入或者修改 。,,,,
修改客户名称的步骤是什么 ?,可以在发票云系统的客户管理模块中 ，找到对应的客户信息 ，然后修改客户名称即可 。具体操作可以参考发票云系统的 帮助文档或者联系技术支持进行指导 。,,,,
因为企业名称修改导致发票重新上传需要多长时间 ?,重新上传的时间可能因网络状况和发票数量而有所不同 ，通常需要5分钟到1小时不等。,,,,
修改企业名字后 ，重新上传后 ，之前的发票信息会受影 响吗?,重新上传后 ，之前的发票信息不会受到影响 ，但是需要重新同步和更新 。如果客户名称的修改涉及到发票的开具和接收方 信息，可能需要重新开具和接收相应的发票 。,,,,
开票成功未上传到税局 ，应该如何处理 ?,如果修复开票软件重新上传后仍然出现问题 ，可以进一步检查发票云系统的日志 ，找出问题的具体原因并采取相应的措施 进行解决。如果无法自行解决，可以联系技术支持或者系统管理员进行指导和协助 。,,,,
航信盘开票是 pdf，ukey是ofd，直接开票软件也是这两 个格式不一样么 ?,直接开票软件可能会有不同的格式选择 ，具体情况取决于所使用的开票软件和开票方式 。一般来说，电子专票通常采用 OFD格式，而电子普票则可能采用 PDF格式或其他格式 ，但具体以当地税务部门要求为准 。因此，在选择开票软件时 ，需 要了解其支持的格式以及当地税务部门的相关规定 ，以确保能够开具符合要求的发票 。,,,,
什么是917设备?,917设备是指一种特定的设备型号 ，它通常用于开具发票 。,,,,
为什么917设备会出现开具清单发票明细过多导致开票 指令卡死的问题 ?,由于917设备的硬件和软件限制 ，当开具的清单发票明细过多时 ，系统可能会出现卡死或故障的情况 。,,,,
针对917设备的问题 ，有哪些解决方案 ?,"以下是针对 917设备问题的几种解决方案 : 
更换非917设备:选择其他型号的设备可能不会出现类似的问题 。 开具发票清单明细条数控制在 20条范围内:通过限制开具发票清单的条数 ，可以避免问题发生 。 在备注中增加几个字符 :当开具清单发票出现指令卡死问题时 ，在备注中增加几个字符可以是一种临时的解决方法 。",,,,
什么是127设备?,127设备是一种特定的税控设备 ，用于开具发票等功能,,,,
为什么127设备会出现指令卡死的问题 ?,由于127设备的硬件和软件限制 ，当执行某些指令时 ，系统可能会出现卡死或故障的情况 。,,,,
针对127设备的问题 ，有哪些解决方案 ?,"以下是针对 127设备问题的几种解决方案 : 
更换非127设备:选择其他型号的税控设备可能不会出现类似的问题 。 插拔税控设备 :在设备出现指令卡死后 ，可以尝试插拔税控设备来恢复 。 更换不同批次的 127设备:如果发现某一批次的产品存在指令卡死的问题 ，可以尝试更换不同批次的 127设备。",,,,
什么是开具发票报 090003问题?,开具发票报090003问题是指税控设备在开具发票时出现的错误代码 。这个错误代码通常表示设备与程序之间的通信出现了 问题。,,,,
为什么会出现 USB接口接触不良和程序与税控设备通信 问题?,"USB接口接触不良和程序与税控设备通信问题通常是由于以下原因导致的 : 
设备使用过程中触碰到设备 ，这可能导致 USB口松动或连接不良 。 设备长时间插着，这可能会导致接口氧化或松动 。 设备本身的硬件或软件故障 ，导致接口接触不良或通信异常 。",,,,
针对这个090003问题，有哪些解决方案 ?,"以下是针对开具发票报 090003 问题的解决方案 : 
插拔税控设备:如果设备长时间插着或者使用过程中触碰到设备 ，可以尝试插拔税控设备来重新连接 USB接口。 更换不同批次的设备 :如果某一批次的产品存在通信问题 ，可以尝试更换不同批次的设备 。",,,,
星辰客户无法打开客户端 ，不知道税盘跟全电的区别 ， 知道打开哪个软件 ，应该如何处理 ? A,对于这种情况 ，需要了解税盘和全电的区别 ，以及客户端的具体打开方式 。可同时打开发票组件跟指挥管家 ，不受影响,,,,
星辰升级上云如何操作 ?,这个问题正在处理中 ，目前限制星辰历史客户升级云化 ，仅使用指挥官加客户端 。预计不久后可以自动切换客户端通道类 型，减少手动操作 。,,,,
智慧管家配置税局账号后 ，星辰税务管理刷新额度的时 候无法获取，提示联系管理员或者配置税局账号 。应该 如何处理 ?,首先需要排查智慧管家客户端内是否配置电子税局账号 。如果已经配置但仍然无法获取刷新额度 ，可能是星辰调用问题或 者我们的系统问题 。可以联系星辰老师进一步排查,,,,
如何绑定金蝶发票云小程序的个人邮箱 ?,在金蝶发票云小程序首页 ，点击【邮箱收票】，然后输入您的邮箱地址 ，点击发送验证码 。您将收到一封包含验证码的电 子邮件，请在个人邮箱中查看并填写该验证码 。一旦您填写了验证码并提交 ，您的邮箱将成功绑定到金蝶发票云小程序 。,,,,
如何查看金蝶发票云小程序的取票进度 ?,"在您成功绑定个人邮箱后，您可以直接使用该邮箱将发票发送至 fp@piaozone.cn 邮箱。在金蝶发票云小程序中，点击【 查看邮箱取票进度 】，您可以查看发票获取进度 。一旦您的发票信息出现在已完成中 ，您可以在票夹中查询该发票是否已 成功导入。 
",,,,
如何在发票云小程序中进行滴滴发票授权 ?,"在发票云小程序中 ，如果您是第一次使用 “滴滴发票 ”采集发票 ，需要按照以下步骤进行授权 : 
点击小程序主界面的 “滴滴发票 ”，进入滴滴发票授权界面 。 在滴滴发票授权界面中 ，输入您的手机号 ，并点击“下一步”。 在下一个界面中 ，输入图形验证码 。 在手机收到验证码后，将正确的验证码输入到滴滴发票授权界面中 。 最后，确认授权，完成滴滴发票的授权流程 。",,,,
如何从微信卡包中添加发票 ?,"打开微信卡包页面，点击右上角的“...”按钮，选择“添加发票”。 在弹出的页面中，输入发票的详细信息 ，包括发票代码、发票号码、开票日期等。 确认发票信息无误后 ，点击“保存”按钮，即可将发票添加到微信卡包中 。 需要注意的是 ，添加的发票必须是电子发票 ，纸质发票无法导入到微信卡包中 。 
如果您在添加发票时遇到问题 ，请检查您输入的发票信息是否正确 ，并确保您的微信版本是最新的 。如果问题仍然存在 ， 请联系微信客服寻求帮助 。",,,,
如何进行扫码添加发票 ?,"打开开票软件 ，进入扫码添加发票界面 ，点击“扫码”按钮。 使用手机扫描发票左上角的二维码 ，完成发票信息的采集 。 系统会自动将采集的发票信息显示在扫码添加列表界面中 。 确认发票信息无误后 ，点击“确认添加”按钮，将发票添加到开票软件中 。 如果需要继续采集发票 ，可以在当前界面选择 “添加并继续扫码 ”，然后重复上述步骤 。",,,,
扫码添加成功后 ，如何查看发票信息 ?,"扫码添加成功后，可以在扫码添加列表界面查看采集的发票信息 。具体操作步骤如下: 
进入开票软件，在扫码添加发票界面中找到 “扫码添加列表”选项。 在扫码添加列表中，可以查看已采集的发票信息 ，包括发票代码、发票号码、开票日期等。 如果需要将已添加的发票信息保存到发票夹中 ，可以点击相应的发票信息进行查看和管理 。",,,,
如何对已添加的发票进行管理 ?,"在扫码添加成功后，可以对已添加的发票进行管理 ，包括查看、编辑、删除等操作。具体操作步骤如下: 
进入开票软件 ，在扫码添加发票界面中找到 “发票夹”选项。 在发票夹中，可以查看已添加的所有发票信息 ，包括已开具的发票和未开具的发票 。 可以通过点击相应的发票信息来查看和编辑发票信息 ，如修改发票抬头、增加或删除附加信息等。 如果需要删除已添加的发票信息 ，可以在相应的发票信息界面中找到 “删除”按钮，并确认操作即可 。",,,,
什么是“财政非税收入票据 ”?,财政非税收入票据是指财政部门印制和发放的 ，用于记录非税收收入及其资金往来情况的凭证 。它通常包括非税收入通用 票据、非税收入专用票据和非税收入定额票据等 。,,,,
什么是“财政电子票据类 ”?,财政电子票据类是指采用电子技术生成的 ，用于记录财政收支情况的数字化信息载体 。它包括电子缴款书、电子凭证、电 子清单等多种形式 。,,,,
“财政非税收入票据 ”能否识别归入 “财政电子票据类 ”?,不支持,,,,
ERP系统中特殊字符变成了空格 ，导致开票失败 。,在ERP系统中，如果出现了空格而不是特殊字符 ，可能是因为系统无法正确识别或显示特殊字符 ，导致其以空格的形式呈 现。例如，制表符、换行符等特殊字符可能会被系统解释为空格 。,,,,
erp开票得时候空格开票失败 ?,可能是因为系统录入了特殊字符 ，导致其以空格的形式呈现 。建议删除后 ，重新输入空格试试 。,,,,
为什么开非矿产品发票会被当成矿产品 ?,"开非矿产品发票被当成矿产品可能是由于以下原因 : 
发票明细中包含了与矿产品相关的编码 ，例如1070201170000000000 和1070201180000000000 ，或者是以102开头的编 码; 确认发票明细中是否包含了上述的特定编码 ，如果有，需要将其删除或修改",,,,
如何避免将非矿产品发票错误地归类为矿产品 ?,"为了避免将非矿产品发票错误地归类为矿产品 ，可以采取以下措施: 
1:确保发票明细中不包含与矿产品相关的特定编码 ，例如1070201170000000000 、107020118000000000 和以102开头的 编码; 2:使用正确的发票类型和编码 ，避免选择与矿产品相关的类型和编码 ; 3:仔细核对企业信息和发票信息是否正确 ，避免输入错误的字符或符号 ; 如果问题仍然存在，可以联系发票云技术支持人员协助处理 。",,,,
区块链开票报错的原因可能是什么 ?,"区块链开票报错的原因可能有很多 ，以下是一些可能的原因 : 
税局信息不完整:如果客户在税局变更了地址电话但开票系统中的信息没有及时更新 ，可能会导致报错。 无法连接到税局服务器:如果开票系统无法连接到税局服务器或者网络连接不稳定 ，可能会导致报错，可以晚点再试试 如果问题仍然存在，可以联系发票云技术支持人员协助处理 。",,,,
发票云邮箱开通需要收费吗 ?,邮箱开通不需要收费 。,,,,
发票云邮件无法发送 ，可以重新发送吗 ?,如果邮件无法发送 ，可以尝试重新发送 。如果问题仍然存在 ，需要考虑是否需要联系邮件服务商或系统管理员进行进一步 处理。,,,,
如何开通开票发送邮箱,激活开票权益得时候 ，自动开通,,,,
如何通过商家平台手工推送邮件 ?,"通过商家平台或运维平台手工推送邮件 ，可以按照以下步骤进行 : 
1:登录商家平台 -销项查询 -开票查询 2:输入需要推送的邮件 3:点击“发送”或“推送”等相关按钮，完成邮件推送。 具体的操作方式可能因不同的商家平台而有所不同 ，需要根据实际 情况进行具体操作 。",,,,
对于开票金额为 0的票，是否需要进行校验 ?,通常来说，开票金额不能为0。在开票前，需要对相关交易或项目进行正确的计费和结算 ，以确保开出的发票金额是正确 的。,,,,
如果开票金额为 0，是否需要关联到 ERP系统进行校 验?,如果开票金额为0，不需要关联到ERP系统进行校验。但是，在开票前需要进行适当的检查和验证 ，以确保发票金额的准确 性。,,,,
如果开票金额为 0，是否会向税局提交并显示错误提 示?,是的，如果开票金额为 0，向税局提交时会出现错误提示 ，因为税局会对此类情况进行检查和验证 。,,,,
为什么取消了发票查看页面中 PDF原文件的打印功能 ?,一方面，电子发票的主要价值已经从纸质发票的纸质形式转向了其电子形式 ，因此打印可能不再是必要的;另一方面，为 了提高归档保存的效率和便利性 ，电子发票的归档保存主要关注其电子元件而非打印复印件 ，因此取消预览组件的打印功 能也是为了引导客户进行更高效和更环保的归档方式 。,,,,
如果需要打印上传得电子发票 ，该如何操作?,可以再查看页面进行下载后打印,,,,
自定义邮件里没有 PDF格式的链接怎么办 ?,非数电票，要么是只有ofd，要么只有pdf，所以之前只有一个字段,,,,
新疆税局 -税盘模式报 “税局数据请求超时 ”,让用户先在自己电脑看是否成功登录税局,,,,
用户通过发票云开全电票后 ，通过发票云勾选报错,开票时候购方手机号码超过数据库 t_invoice_success的限制长度，导致入库不成功,,,,
智慧管家打开登录界面白屏,资源无法加载，让客户加一下 *.piaozone.com 为白名单，,,,,
智慧管家打开首页白屏,"用户没有用 ""以管理员方式启动 ""，导致部分本地资源文件无法加载",,,,
暂时不支持电子税局的访问,本地环境资源有问题 ，重启可以了,,,,
提示某一行税率不合法,客户填写的税收分类编码是汇总项 ，不支持该税率开票,,,,
提示流水号 20位的限制,让客户升级到最新版本 ，已放开20位的限制,,,,
开票认证失效,登录税局认证后 ，再重新登录客户端,,,,
开全电发票 ，下载的pdf、ofd都无法正常打开 ，提示文 件损坏,调接口重新下载,,,,
智慧管家登录弹窗空白,清除客户端缓存，除db、download之外的文件，杀掉缓存重启,,,,
客户电脑限制 wss.piaozone.com域名，长链接连不上,需要客户将域名添加白名单,,,,
电子税局提示用户密码连续输入错误被锁,去浏览器忘记密码 ，修改密码 ，重新登录,,,,
税局数据请求异常 ，请稍后重试,配置长链接,,,,
(浙江)用户当前为数电票用票试点纳税人,"在点击""我要办税”上没生效，导致拿不到取票权限",,,,
电子税务局登录失败,让客户先在电子税局新版登录,,,,
电子税局登录失效,客户在智慧管家重新登录,,,,
开具电子票失败,税局开票问题 ，用户失败后再次开具,,,,
开票提示开票企业税号不能为空,"运营与监控平台https://cms.piaozone.com/operation -monitor/ 运维治理-开票管理-金税设置-对应税号-编辑-托管类型-选择全电RPA 
",,,,
发票智慧管家 -税盘下载 -保存超时,"税局信息维护https://api.piaozone.com/fpdk -gov/fpdk/gov/config/info 对应税局-清除缓存-添加缓存文件 
",,,,
收票提示 “服务端异常 ，请稍后再试 ”,"星空8.0版本之前的金税链接设置的开收票地址 都需要追加 ‘&request_path= ’ 都加上没影响 ，建议默认加上",,,,
"发票开具异常 ，报第1行商品,仅支持开具旅客运输特定 要素类型发票",不支持特殊票种开具:建筑服务、货物运输服务、不动产销售、不动产租赁、保险机构代收车船税、 旅客运输服务、医疗服务(门诊)、医疗服务(住院)、拖拉机和联合收割机,,,,
